iter	Passed	Remaining
0	7	727
1	13	654
2	17	558
3	21	526
4	24	470
5	27	428
6	30	402
7	32	374
8	36	369
9	38	344
10	39	322
11	41	304
12	43	287
13	44	274
14	46	261
15	47	250
16	51	249
17	53	242
18	54	233
19	56	226
20	58	220
21	60	214
22	62	208
23	65	208
24	67	202
25	68	196
26	70	190
27	71	183
28	72	178
29	73	172
30	75	167
31	77	164
32	78	159
33	80	156
34	82	152
35	83	149
36	85	145
37	86	141
38	87	137
39	89	134
40	90	130
41	91	126
42	92	122
43	94	120
44	96	117
45	97	114
46	98	111
47	99	108
48	101	105
49	102	102
50	103	99
51	104	96
52	105	93
53	107	91
54	107	88
55	109	85
56	110	83
57	112	81
58	113	78
59	114	76
60	115	73
61	117	71
62	118	69
63	119	67
64	120	65
65	122	62
66	123	60
67	125	59
68	127	57
69	128	55
70	129	53
71	131	51
72	132	49
73	133	47
74	135	45
75	136	43
76	138	41
77	139	39
78	141	37
79	142	35
80	143	33
81	144	31
82	146	29
83	147	28
84	148	26
85	149	24
86	150	22
87	152	20
88	153	18
89	154	17
90	155	15
91	157	13
92	158	11
93	159	10
94	160	8
95	162	6
96	163	5
97	164	3
98	165	1
99	166	0
